序号,企业名称,行业,规模线索,适配场景,切入部门,进入理由,主要风险,公开证据
1,比亚迪股份有限公司,制造,2024年营收超7000亿元，员工超90万，全球新能源车销量第一,供应链质量巡检自动化、生产排程AI辅助、供应商文档智能处理,CIO办公室 / 制造工程部,制造场景复杂、系统异构程度高，FDE现场集成价值大；数字化预算充足；多工厂可复制,内部IT团队强，可能自研；决策链长；数据安全要求极高,2025年规模以上制造企业30%+采用AI(S02)；比亚迪已推进智能制造灯塔工厂
2,宁德时代新能源科技,制造,2024年营收超3000亿元，全球动力电池市占率37%,研发文档知识管理、设备维护预测、质量异常根因分析,IT中心 / 研发效能部,研发和生产数据量大、知识密集；FDE可快速连接MES/ERP生成洞察,技术保密要求极高；已有AI团队；海外业务数据合规复杂,IDC预测2028年工业AI支出近900亿(S01)；宁德时代灯塔工厂公开报道
3,美的集团,制造,2024年营收超3700亿元，智能家居+工业技术双轮驱动,多工厂运营数据汇总、采购合同智能审核、售后工单自动分类,美云智数 / IT共享服务中心,已有数字化基础(美云智数)，对AI增量价值接受度高；多事业部可横向复制,美云智数可能自研替代；价格敏感度高,制造业AI CAGR 37.7%(S01)；美的数字化转型公开案例丰富
4,三一重工股份有限公司,制造,2024年营收超800亿元，工程机械龙头，'灯塔工厂'标杆,设备运维知识库、经销商报价自动化、生产现场异常处理Agent,CIO / 智能制造研究院,灯塔工厂经验丰富，对前沿技术有试错预算；海外业务需要多语言Agent,已有树根互联等工业互联网平台；国企决策流程,工信部30%+制造企业采用AI(S02)；三一重工'灯塔工厂'多次入选WEF
5,海尔智家股份有限公司,制造,2024年营收超2600亿元，全球白电三强，卡奥斯工业互联网平台,用户反馈智能分析、供应链协同文档处理、海外子公司合规文档,卡奥斯 / 数字化转型中心,全球化运营需要跨语言跨系统Agent；卡奥斯平台可作为分发渠道,卡奥斯自身在做AI；组织架构复杂,制造业数字化解决方案市场1.76万亿(S02关联)；海尔卡奥斯公开报道
6,京东集团,零售电商,2024年营收超1.1万亿元，自营+平台双模式，JoyAI大模型已应用1800+场景,商家运营自动化、供应链异常处理、客服质检与培训,京东科技 / 商家平台部,AI应用成熟，对Agent价值有认知；商家生态需要第三方AI工具补充,自研JoyAI能力极强，外部空间有限；数据不出域要求,京东JoyAI调用量较618增长4倍(S03关联)；京东数字人服务4万+品牌
7,拼多多(PDD Holdings),零售电商,2024年营收超2400亿元，Temu全球化扩张，员工约1.5万,跨境电商合规文档、商家治理自动化、多语言客服,Temu运营 / 技术中台,跨境业务高速增长，合规和运营人力需求大；FDE可快速迭代多语言场景,工程师文化极强，倾向自研；对成本极度敏感,电商AI客服覆盖80%+常见场景(S03)；Temu多国运营公开信息
8,唯品会控股有限公司,零售电商,2024年营收超1000亿元，特卖模式，活跃用户超8000万,商品上架自动化、营销文案生成、客服工单智能路由,技术中心 / 运营部,中型电商平台，AI团队规模有限，外部FDE补充价值高；特卖场景SKU周转快,营收下滑趋势，IT预算收紧；特卖模式场景较窄,电商客服成本占运营23%(S04)；唯品会财报公开
9,得物App(上海识装信息科技),零售电商,潮流电商头部，估值超100亿美元，年GMV超800亿元,鉴别报告自动化、社区内容审核、商家入驻文档处理,技术部 / 鉴别中心,鉴别流程知识密集，FDE可构建专业知识库Agent；年轻团队对AI接受度高,非上市公司，财务数据不透明；鉴别专业性强，AI准确率要求高,电商AIGC生成1.5亿素材/双11(S03)；得物鉴别业务公开报道
10,辛选集团(辛巴辛选),零售电商,直播电商头部MCN，年GMV超500亿元，供应链团队超3000人,选品数据分析、直播脚本生成、供应链合同审核、售后批量处理,供应链中心 / 信息技术部,直播电商节奏快、人力密集，AI提效ROI显著；FDE可驻场快速响应大促,行业波动大；创始人风险；数据规范化程度低,AI客服日均降本2000万(天猫数据S03)；直播电商行业公开数据
