序号,企业名称,行业,规模线索,适配场景,切入部门,进入理由,主要风险,公开证据,来源URL
1,赛力斯集团,制造业,A股上市，2025年营收超1000亿元，新能源汽车龙头,产线质量管控Agent、供应链协同优化、预测性维护,COO/工厂运营,已部署AI Agent缩减人工工时，有数字化基础与预算,数据安全风险高，产线系统对接复杂,掘金：赛力斯通过部署智能体大幅缩减人工工时,https://juejin.cn/post/7673438154771742754
2,三花控股集团,制造业,A股上市，全球制冷控制元器件龙头,采购流程自动化、质量检测Agent、供应商管理,COO/采购部,已有智能体落地案例，流程自动化率高,制造业Agent 40%项目夭折风险,掘金：三花控股部署智能体提升流程自动化率,https://juejin.cn/post/7673438154771742754
3,美的集团,制造业,世界500强，年营收超3700亿元,智能排程、设备预测维护、质检自动化,CIO/智能制造部,数字化成熟度行业领先，有明确AI战略,自有平台能力强，外部FDE差异化空间有限,SegmentFault：2026制造业AI Agent全品类盘点,https://segmentfault.com/a/1190000048087214
4,海尔卡奥斯,制造业,工信部双跨平台，服务制造业数字化转型,供应链Agent、多工厂协同、知识管理,CTO/平台部,工业互联网平台生态开放，Agent集成需求强,平台自有能力覆盖部分场景,掘金：海尔卡奥斯为工业AI Agent标杆,https://juejin.cn/post/7673438154771742754
5,某股份制银行（如招商银行）,金融服务,A+H上市，总资产超10万亿，科技投入超100亿/年,投研报告自动化、合规审查Agent、智能客服,CIO/零售金融部,科技预算充足，AI试点经验丰富；金融智能体单笔30-150万,模型风险监管严格，数据隔离要求高,经济观察报：2025年金融智能体签约9.5亿,http://www.eeo.com.cn/ai/2026/0221/799153.shtml
6,某头部券商（如中信证券）,金融服务,A股上市，总资产超1.3万亿,投研数据分析、合规文档审查、客户服务Agent,CIO/研究所,投研场景数据密集，Agent提效空间大,合规与模型风险要求极高,新浪财经：2026金融智能体十大落地场景,https://m.sohu.com/a/1018447761_122067411/
7,某大型保险集团（如中国平安）,金融服务,世界500强，保险+科技双驱动,理赔流程自动化、风控Agent、客户服务,CIO/运营部,保险占金融智能体15%份额，理赔自动化需求强,保险数据隐私与监管合规,新浪财经：2026金融智能体行业发展报告,https://t.cj.sina.cn/articles/view/7730756972/1ccc9fd6c001018ro4
8,某头部电商平台（如京东集团）,零售电商,港股/美股上市，年营收超万亿,智能客服、商品内容生成、库存优化,CMO/运营部,流量成本高企，AI全链路降本需求迫切,利润率低，内部AI团队强大,东方财富：企业级AI Agent落地标杆案例,https://caifuhao.eastmoney.com/news/20260807181954427352320
9,某连锁零售集团（如永辉超市）,零售电商,A股上市，全国超800家门店,门店运营Agent、供应链补货、内容营销,COO/数字化部,门店多、人力密集，Agent替代重复劳动空间大,零售利润薄，IT预算有限,数商云：电商AI智能体全链路方案,https://www.shushangyun.com/article-41402.html
10,某大型制造企业（如三一重工）,制造业,A股上市，全球工程机械龙头,设备预测维护、智能排程、售后Agent,COO/CIO,重工设备运维场景复杂，Agent价值高,产线安全要求极高，部署周期长,钛媒体：工业智能体拼落地,https://finance.sina.cn/stock/jdts/2026-08-14/detail-ininhnxr9392184.d.html
