序号,行业,企业名称,规模线索,适配场景,切入部门,进入理由,主要风险,公开证据来源
1,制造业,美的集团,营收3000亿+（2025年报），全球家电龙头,采购比价自动化、质量文档生成、供应链分析、生产报表自动化,COO/CIO/智能制造部门,数字化转型行业标杆，已部署AI选品和智能工厂，FieldPilot可从采购和供应链研究场景切入,内部已有AI团队竞争、数据隔离要求高,工信部智能制造典型案例；公司年报（000333.SZ）
2,制造业,三一重工,营收800亿+（2025），工程机械龙头,设备维护知识库、供应链分析、采购比价、生产报表,CIO/灯塔工厂办公室,已建成行业灯塔工厂，数字化基础好，采购和供应链场景可快速展示ROI,OT/IT融合复杂、工厂数据隔离,工信部灯塔工厂名录；公司年报（600031.SH）
3,制造业,宁德时代,营收3600亿+（2025），全球动力电池龙头,供应链研究、质量文档生成、采购自动化、合规报告,CIO/供应链管理部门,全球供应链复杂度高，采购和供应链研究需求强，AI+制造政策受益方,数据机密性要求高、内部技术团队强,工信部AI+制造专项案例；公司年报（300750.SZ）
4,制造业,海尔智家,营收2000亿+（2025），智慧家庭生态,供应链分析、内容生成、客服自动化、竞品研究,CMO/CIO/用户运营,已全面数字化转型，内容生成和客服场景可快速试点,客单价可能偏低、平台依赖度高,中商产业研究院智慧零售TOP5；公司年报（600690.SH）
5,制造业,汇川技术,营收300亿+（2025），工业自动化龙头,采购比价、供应链分析、质量文档、技术文档生成,CIO/运营管理,工业自动化企业天然有数字化基因，采购和文档场景适配度高,市场规模相对较小、决策链长,工信部智能制造系统解决方案名录；公司年报（300124.SZ）
6,零售电商,永辉超市,营收700亿+（2025），全国生鲜超市龙头,选品分析、库存分析、客服自动化、营销内容生成,COO/CIO/运营管理,生鲜零售供应链复杂，选品和库存分析需求强，已在数字化转型中,竞争激烈、利润空间薄、SaaS替代性强,商务部零售业创新提升工程；公司年报（601933.SH）
7,零售电商,孩子王,营收100亿+（2025），母婴零售龙头,选品分析、内容生成、客服自动化、会员运营,CMO/CIO/用户运营,全渠道母婴零售，内容生成和会员运营场景适配度高，已在AI应用探索,客单价偏低、规模有限,中国连锁经营协会CCFA案例；公司年报（301078.SZ）
8,零售电商,百果园,营收100亿+（2025），水果连锁龙头,供应链分析、选品分析、库存分析、门店运营报告,COO/CIO/供应链管理,水果供应链复杂度高，选品和库存分析可快速展示ROI,利润空间薄、门店分散,中商产业研究院即时零售报告；公司年报（02411.HK）
9,零售电商,锅圈食汇,营收50亿+（2025），食材连锁龙头,选品分析、供应链分析、营销内容生成、客服自动化,COO/CIO/运营管理,万店连锁模式，供应链和选品自动化需求强，已在数字化建设中,规模有限、客单价低,中国连锁经营协会2026全零售AI火花大会；公司年报（02207.HK）
10,零售电商,银泰商业,营收100亿+（2025），百货零售龙头,选品分析、内容生成、客服自动化、竞品研究,CMO/CIO/用户运营,数字化百货标杆，内容生成和客服场景可快速试点，AI导购已有基础,平台依赖度高、决策链长,GRA全球零售联盟报告；阿里巴巴年报
